Nombre;Direccion;Barrio;ContactoTelefono;Categoria;Subcategoria;ContactoMail;Descripcion;lon;lat;Autoridades
Amigos Comerciantes e Industriales de Villa Martelli;Laprida 3893;Villa Martelli;;Participacion Social;Camaras y Comercios;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.505588;-34.5484409;
Grupo Scout Jesús en el Huerto de los Olivos N°27;Salta 2620;Olivos;4790-8903;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4866252;-34.5093571;
Grupo Scout H-Bouchard N°140;Sarmiento 2310;Olivos;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4910172;-34.5158773;
Agrupación Scout Naval Tte. Navío Pedro Etchepare N°314;Camacuá 401 y Solis;Olivos;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4784786;-34.5053648;
Grupo Scout Nuestra Señora de la Unidad N°172;Parana 1630;Olivos;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4997769;-34.498723;
Grupo Scout San Pedro y San Pablo N°207;H. de la Quintana 2645;Olivos;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4938448;-34.5137251;
Grupo Scout Nuestra Señora de la Paz N°110;Av. Maipu 3482;Olivos;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4946774;-34.5039046;
Grupo Scout Virgen del Carmen;Jose María Paz 3317;Olivos;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5027194;-34.5103819;
Rotary Club de Olivos;Juan B. Alberdi 1679;Olivos;4790-4823;Participacion Social;Rotary Club;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.493302;-34.5116967;
Unión Propietarios de Taxis;Chacabuco 3365;Olivos;;Participacion Social;Camaras y Comercios;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.501057;-34.5092099;
Centro de Veteranos de Guerra de Malvinas de Vicente López;Carlos Villate 1831;Olivos;4797-0254;Participacion Social;Asociación Civil;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4919281;-34.5175299;
Hogar Querubines;Juan B. Justo 2639;Olivos;;Participacion Social;Minoridad;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5028842;-34.5179996;
Fundacion Camino a Jerico;A. Malaver 1745;Olivos;4795-6646;Participacion Social;Comunitario;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4900784;-34.5199302;
Dialogos Por Los Chicos Asociacion Civil;Villate 3255;Olivos;47601770;Participacion Social;Minoridad;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5067402;-34.5250817;
1 KM 1 SONRISA;GRAL. PACHECO 2785 DTO. 2;Olivos;1563765932;Participacion Social;Asociación Civil;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4988954;-34.5147476;
FUNDACION RUGBY SIN FRONTERAS;AV. MAIPU 1585;Olivos;4-717-0828;Participacion Social;Asociación Civil;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4839546;-34.523015;
Comisión La Nueva Gándara (comité encargado de que no se ocupen terrenos deshabitados, etc);José Ingenieros 3753;Olivos;;Participacion Social;Asociación Civil;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5165871;-34.5135115;
"Asociación Civil \\""La casa de Tita\""\""""";Bellocq 3260;Olivos;;Participacion Social;Asociación Civil;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5150126;-34.5167541;
Rotary Club La Lucila;Hilarión de la Quintana 2172;La Lucila;;Participacion Social;Rotary Club;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4910032;-34.5180061;
Grupo Scout Turaspha Huasi N° 39;H. Yrigoyen y Solis;Vicente Lopez;;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4738772;-34.5157506;
Grupo Scout San Gabriel N° 126;Gaspar Campos 759;Vicente Lopez;4796-3218;Participacion Social;Scout;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4749054;-34.5288172;
Club de Leones de Vicente López Siglo XXI;Azcuénaga 1580;Vicente Lopez;1544910703;Participacion Social;Club de Leones;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4757823;-34.5191607;
Caritas de Vicente López;Roca 560;Vicente Lopez;4795-9486/47973662;Participacion Social;Asociación Civil;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4728109;-34.5222559;
Sociedad de Bomberos Voluntarios y Primeros Auxilios de Vicente López;Av. Maipú 1669;Vicente Lopez;4795-2002- 2222;Participacion Social;Bomberos;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4841879;-34.5223129;
Familias del Corazón Servicio Familias Sustitutas;Segurola 1984;Vicente Lopez;;Participacion Social;Minoridad;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4810084;-34.5159707;
Asociacion Pablo Tissera Emprendimientos Sociales;Urquiza 1460;Vicente Lopez;;Participacion Social;Comunitario;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4820965;-34.5254888;
CERP Centro de Escucha y Resiliencia Popular;Agustin Alvarez 887;Vicente Lopez;;Participacion Social;Minoridad;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.4713873;-34.5301044;
